,Laptop Names,Laptop Price
0,"Lenovo IdeaPad-1-11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 - Windows 10 - Grey","GH₵ 1,855.00"
1,Hp Laptop - Intel Celeron Core 2 Duo - 4G RAM - 500GB HDD - 15.6” - Windows10 - Silver,GH₵ 750.00
2,Lenovo V14-IGL -14.0″ -  Intel N4020 - 4GB DDR4 RAM - 1TB HDD - Grey,GH₵ 719.00
3,Apple 2020 MacBook Pro - 512GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 1,855.00"
4,Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet Red,"GH₵ 1,656.00"
5,"Lenovo Ideapad S145-15IGM (81MX) - Intel Celeron N4000- 1TB HDD - 4GB RAM -15.6"" - Windows 10 - Black","GH₵ 2,245.00"
6,10.1 inch Netbook PC - 1GBRAM - 8GB HDD - Android 5.1 ATM7059  - Black,"GH₵ 8,900.00"
7,Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 4GB RAM - 1TB HDD - 14.0'' LED Screen - Black,"GH₵ 2,399.00"
8,Hp 15 Notebook Laptop -15.6'' - Intel® Celeron®  500GB HDD - 4GB RAM - Windows 10 - Black,"GH₵ 2,189.00"
9,Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD  - Windows 10 - Silver,GH₵ 750.00
10,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 11 Pro - Iron Gray","GH₵ 2,799.00"
11,Hp Notebook 14-DQ1043CL - Intel Core i3-1005G1 - 8GB - 256GB SSD - Win10 - Backlit Keyboard - Silver,"GH₵ 2,244.00"
12,"Hp Notebook 15-da2937nia - 15.6"" - 10th Gen Core i7-10510U - 8GB RAM - 1TB HDD  - Windows 10 - Black","GH₵ 1,750.00"
13,"Hp 15T-ED000 x360 -15"" - Core i7-1065G7+512 SSD+16GB RAM+4GB NVIDIA MX330 - Windows 10 -Silver","GH₵ 3,000.00"
14,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 12GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 3,060.00"
15,Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 4,393.75"
16,"DELL Vostro 3000 Series - 11th Gen Intel Core  i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray","GH₵ 9,800.00"
17,"TDD-10.1 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - White","GH₵ 3,434.00"
18,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 5,800.00"
19,"DELL Vostro 3500 - 11th Generation Intel Core i5-1135G7 - 1TB HDD -4GB RAM -15.6"" - Windows 10 - Gray","GH₵ 3,295.00"
20,Hp Envy x360 convertible 15 Touchscreen - Core i7-1065g7 - 10th Gen - 16GB RAM - 512GB SSD - Win 10 - Silver,GH₵ 855.00
21,"N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink","GH₵ 2,879.00"
22,"360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)","GH₵ 3,607.50"
23,"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray","GH₵ 6,690.00"
24,Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,GH₵ 719.00
25,"Hp 250 G7 - 15.6"" - Intel Core i5 - 1TB HDD - 8GB RAM - Windows 10 - Gray",GH₵ 499.00
26,Hp Pavilion Gaming -Core i5-10300H - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 2,490.00"
27,"DELL Latitude 3189 2-In-1 Intel Pentium Laptop - 8GB RAM - 256GB SSD 11.6"" Display - Win10 - Gray",GH₵ 129.00
28,Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - Black,"GH₵ 4,225.00"
29,Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10  – Silver,"GH₵ 6,300.00"
30,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray","GH₵ 2,800.00"
31,Hp Pavilion x360 14-DH2051WM - 10th Gen- 8GB Ram-256GB SSD - Natural Silver,"GH₵ 3,250.00"
32,Hp Notebook 15 - 10th Gen Intel Core i5 Processor - 1TB HDD - 4GB RAM - Windows 10 Laptop - Black,"GH₵ 3,399.00"
33,10.1 inch  Netbook PC -1GBRAM - 8GBROM - Android 6.0  - Black,"GH₵ 2,489.00"
34,Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUE,"GH₵ 100,000.00"
35,Hp Laptop 15.6” - Intel Celeron Core 2 Duo -500GB HDD  - 4GB - Windows 7 - Silver,"GH₵ 3,889.00"
36,Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,GH₵ 779.00
37,Apple MacBook Pro - 256GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 2,950.00"
38,Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue,"GH₵ 1,820.00"
39,Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver,"GH₵ 9,000.00"
